show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Duration in Mins,First Category,Murder Mystery?
s2332,TV Show,Home Game,N/A,,United States,"Friday, 26 June 2020",2020,TV-MA,1 Season,Docuseries,,Docuseries,No
s2407,TV Show,Lenox Hill,N/A,,United States,"Wednesday, 10 June 2020",2020,TV-MA,1 Season,"Docuseries, Reality TV, Science & Nature TV",,Docuseries,No
s2433,TV Show,Alone,N/A,,United States,"Tuesday, 2 June 2020",2019,TV-14,1 Season,Reality TV,,Reality TV,No
s2496,TV Show,Especial 20 años Fútbol de Primera,N/A,,United States,"Wednesday, 20 May 2020",2020,TV-14,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",,Docuseries,No
s2549,TV Show,Trial By Media,N/A,,United States,"Monday, 11 May 2020",2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s2569,TV Show,Hangar 1: The UFO Files,N/A,,United States,"Saturday, 2 May 2020",2015,TV-PG,1 Season,Docuseries,,Docuseries,No
s2570,TV Show,Hoarders,N/A,,United States,"Saturday, 2 May 2020",2020,TV-PG,1 Season,Reality TV,,Reality TV,No
s2628,TV Show,"Coronavirus, Explained",N/A,,United States,"Sunday, 26 April 2020",2020,TV-PG,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s2685,TV Show,The Innocence Files,N/A,,United States,"Wednesday, 15 April 2020",2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s2700,TV Show,The Circle France,N/A,,United States,"Thursday, 9 April 2020",2020,TV-MA,1 Season,"International TV Shows, Reality TV",,International TV Shows,No
s2728,TV Show,How to Fix a Drug Scandal,N/A,,United States,"Wednesday, 1 April 2020",2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s2884,TV Show,The Trials of Gabriel Fernandez,N/A,,United States,"Wednesday, 26 February 2020",2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,Yes
s2894,TV Show,Passion. Panache. Pep,N/A,,United States,"Friday, 21 February 2020",2020,TV-G,1 Season,"International TV Shows, Reality TV",,International TV Shows,No
s2945,TV Show,Who Killed Malcolm X?,N/A,,United States,"Friday, 7 February 2020",2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s2983,TV Show,Find Yourself,N/A,,United States,"Wednesday, 29 January 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",,International TV Shows,No
s3001,TV Show,Pandemic: How to Prevent an Outbreak,N/A,,United States,"Wednesday, 22 January 2020",2020,TV-14,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s3043,TV Show,Cheer,N/A,,United States,"Wednesday, 8 January 2020",2020,TV-MA,1 Season,"Docuseries, Reality TV, Teen TV Shows",,Docuseries,No
s3093,TV Show,Kevin Hart: Don’t F**k This Up,N/A,,United States,"Friday, 27 December 2019",2019,TV-MA,1 Season,Docuseries,,Docuseries,No
s3243,TV Show,Narcoworld: Dope Stories,N/A,,United States,"Friday, 22 November 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s3314,TV Show,The Devil Next Door,N/A,,United States,"Monday, 4 November 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,Yes
s3394,TV Show,"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",N/A,,United States,"Friday, 18 October 2019",2019,TV-Y,1 Season,Kids' TV,,Kids' TV,No
s3459,TV Show,Living Undocumented,N/A,,United States,"Wednesday, 2 October 2019",2019,TV-MA,1 Season,Docuseries,,Docuseries,No
s3540,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,N/A,,United States,"Sunday, 1 September 2019",2016,TV-Y,1 Season,Kids' TV,,Kids' TV,No
s3593,TV Show,Happy Jail,N/A,,United States,"Wednesday, 14 August 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s3628,TV Show,Basketball or Nothing,N/A,,United States,"Friday, 2 August 2019",2019,TV-PG,1 Season,"Docuseries, Reality TV",,Docuseries,No
s3705,TV Show,Exhibit A,N/A,,United States,"Friday, 28 June 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, Science & Nature TV",,Crime TV Shows,No
s3790,TV Show,Killer Ratings,N/A,,United States,"Friday, 31 May 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",,Crime TV Shows,No
s3838,TV Show,Jailbirds,N/A,,United States,"Friday, 10 May 2019",2019,TV-MA,1 Season,"Docuseries, Reality TV",,Docuseries,No
s3893,TV Show,Street Food,N/A,,United States,"Friday, 26 April 2019",2019,TV-PG,1 Season,Docuseries,,Docuseries,No
s3935,TV Show,Time: The Kalief Browder Story,N/A,,United States,"Sunday, 7 April 2019",2017,TV-MA,1 Season,Docuseries,,Docuseries,No
s3954,TV Show,Kicko & Super Speedo,N/A,,United States,"Monday, 1 April 2019",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies",,Kids' TV,No
s4016,TV Show,The Disappearance of Madeleine McCann,N/A,,United States,"Friday, 15 March 2019",2019,TV-14,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s4057,TV Show,Losers,N/A,,United States,"Friday, 1 March 2019",2019,TV-MA,1 Season,Docuseries,,Docuseries,No
s4173,TV Show,Conversations with a Killer: The Ted Bundy Tapes,N/A,,United States,"Thursday, 24 January 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,Yes
s4200,TV Show,Back with the Ex,N/A,,United States,"Friday, 11 January 2019",2018,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",,International TV Shows,No
